Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Nikola Jokić,28,DEN,79.0,926.0,990,0.935,79,34.6,26.4,12.4,9.0,1.4,0.9,0.583,0.359,0.817,17.0,0.299
2,Shai Gilgeous-Alexander,25,OKC,15.0,640.0,990,0.646,75,34.0,30.1,5.5,6.2,2.0,0.9,0.535,0.353,0.874,14.6,0.275
3,Luka Dončić,24,DAL,4.0,566.0,990,0.572,70,37.5,33.9,9.2,9.8,1.4,0.5,0.487,0.382,0.786,12.0,0.22
4,Giannis Antetokounmpo,29,MIL,1.0,192.0,990,0.194,73,35.2,30.4,11.5,6.5,1.2,1.1,0.611,0.274,0.657,13.2,0.246
5,Jalen Brunson,27,NYK,0.0,142.0,990,0.143,77,35.4,28.7,3.6,6.7,0.9,0.2,0.479,0.401,0.847,11.2,0.198
6,Jayson Tatum,25,BOS,0.0,86.0,990,0.087,74,35.7,26.9,8.1,4.9,1.0,0.6,0.471,0.376,0.833,10.4,0.189
7,Anthony Edwards,22,MIN,0.0,18.0,990,0.018,79,35.1,25.9,5.4,5.1,1.3,0.5,0.461,0.357,0.836,7.5,0.13
8,Domantas Sabonis,27,SAC,0.0,3.0,990,0.003,82,35.7,19.4,13.7,8.2,0.9,0.6,0.594,0.379,0.704,12.6,0.206
9,Kevin Durant,35,PHO,0.0,1.0,990,0.001,75,37.2,27.1,6.6,5.0,0.9,1.2,0.523,0.413,0.856,8.3,0.142
