Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
Nick Smith Jr.,SG,19,CHO,51,0,729,113,289,.391,63,146,.432,50,143,.350,.500,13,15,.867,18,54,72,59,10,7,39,55,302,30.0,21.0,61.0
Terquavion Smith,PG,21,PHI,16,0,84,18,46,.391,13,35,.371,5,11,.455,.533,3,5,.600,0,4,4,12,8,0,7,8,52,8.0,47.0,35.0
Jeremy Sochan,PF,20,SAS,74,73,2193,340,776,.438,70,227,.308,270,549,.492,.483,111,144,.771,137,339,476,249,62,40,140,168,861,24.0,22.0,60.0
Pat Spencer,PG,27,GSW,6,0,26,2,4,.500,0,2,.000,2,2,1.000,.500,0,0,0,2,2,4,5,0,0,1,1,4,11.0,46.0,36.0
Jaden Springer,SG-PG,21,TOT,49,2,507,59,148,.399,10,48,.208,49,100,.490,.432,35,42,.833,33,45,78,44,36,15,34,66,163,3.329268292682927,31.609756097560975,17.390243902439025
Lamar Stevens,PF,26,TOT,38,3,559,108,240,.450,14,46,.304,94,194,.485,.479,42,54,.778,36,91,127,28,23,22,24,45,272,6.2560975609756095,21.085365853658537,16.914634146341463
Isaiah Stewart,PF,22,DET,46,45,1423,186,382,.487,67,175,.383,119,207,.575,.575,64,85,.753,74,231,305,73,17,38,66,99,503,27.0,14.0,68.0
Julian Strawther,SF,21,DEN,50,0,545,82,222,.369,41,138,.297,41,84,.488,.462,22,31,.710,5,56,61,47,17,7,23,54,227,4.0,57.0,25.0
Max Strus,SF,27,CLE,70,70,2239,304,728,.418,168,479,.351,136,249,.546,.533,77,97,.794,66,272,338,283,64,29,112,170,853,13.0,48.0,34.0
Jalen Suggs,SG,22,ORL,75,75,2025,336,714,.471,153,385,.397,183,329,.556,.578,118,156,.756,48,181,229,205,106,47,132,205,943,15.0,47.0,35.0
Cole Swider,SF,24,MIA,18,0,87,15,38,.395,10,30,.333,5,8,.625,.526,2,2,1.000,1,6,7,5,1,1,8,4,42,16.0,46.0,36.0
Jae'Sean Tate,SF,28,HOU,65,9,1031,108,229,.472,23,77,.299,85,152,.559,.522,26,39,.667,61,136,197,64,42,15,37,137,265,18.0,41.0,41.0
Jayson Tatum,PF,25,BOS,74,74,2645,672,1426,.471,229,609,.376,443,817,.542,.552,414,497,.833,67,534,601,364,75,43,188,145,1987,1.0,64.0,18.0
Terry Taylor,PF,24,CHI,31,0,188,20,39,.513,2,9,.222,18,30,.600,.538,4,5,.800,17,20,37,10,5,2,7,17,46,20.0,39.0,43.0
Garrett Temple,SG,37,TOR,27,2,289,29,78,.372,12,40,.300,17,38,.447,.449,18,22,.818,18,27,45,28,12,3,14,28,88,25.0,25.0,57.0
Dalen Terry,SG,21,CHI,59,2,681,69,157,.439,17,74,.230,52,83,.627,.494,25,43,.581,29,84,113,81,27,18,32,81,180,20.0,39.0,43.0
Daniel Theis,C,31,TOT,60,3,1015,156,293,.532,26,71,.366,130,222,.586,.577,38,50,.760,85,159,244,61,21,51,42,127,376,5.158536585365853,37.26829268292683,22.73170731707317
Cam Thomas,SG,22,BRK,66,51,2075,526,1190,.442,144,396,.364,382,794,.481,.503,286,334,.856,28,186,214,192,45,16,124,138,1482,22.0,32.0,50.0
Isaiah Thomas,PG,34,PHO,6,0,19,3,10,.300,2,4,.500,1,6,.167,.400,0,0,0,0,0,0,3,0,0,0,0,8,9.0,49.0,33.0
Amen Thompson,SF,21,HOU,62,23,1388,239,446,.536,8,58,.138,231,388,.595,.545,106,155,.684,148,261,409,163,78,38,90,141,592,18.0,41.0,41.0
Ausar Thompson,SF,21,DET,63,38,1583,232,480,.483,21,113,.186,211,367,.575,.505,71,119,.597,129,273,402,120,68,59,84,175,556,27.0,14.0,68.0
Klay Thompson,SF,33,GSW,77,63,2284,490,1133,.432,268,692,.387,222,441,.503,.551,127,137,.927,35,219,254,176,50,35,117,127,1375,11.0,46.0,36.0
Tristan Thompson,C,32,CLE,49,0,549,73,120,.608,0,1,.000,73,119,.613,.608,15,52,.288,73,101,174,51,12,14,29,59,161,13.0,48.0,34.0
JT Thor,PF,21,CHO,63,3,781,80,183,.437,28,81,.346,52,102,.510,.514,11,20,.550,43,103,146,29,11,27,15,60,199,30.0,21.0,61.0
Matisse Thybulle,SF,26,POR,65,19,1487,126,317,.397,80,231,.346,46,86,.535,.524,22,29,.759,30,106,136,90,113,49,40,93,354,29.0,21.0,61.0
Xavier Tillman Sr.,C-PF,25,TOT,54,15,974,121,279,.434,20,81,.247,101,198,.510,.470,22,50,.440,70,141,211,77,51,44,34,75,284,11.024390243902438,26.804878048780488,27.195121951219512
Jacob Toppin,SF,23,NYK,9,0,38,5,9,.556,1,4,.250,4,5,.800,.611,2,2,1.000,3,4,7,3,0,1,1,3,13,5.0,50.0,32.0
Obi Toppin,PF,25,IND,82,28,1730,332,579,.573,102,253,.403,230,326,.706,.661,77,100,.770,85,235,320,128,47,43,69,143,843,10.0,47.0,35.0
Juan Toscano-Anderson,SF,30,SAC,11,0,53,3,12,.250,1,4,.250,2,8,.250,.292,0,0,0,4,10,14,4,1,1,2,11,7,17.0,46.0,36.0
Karl-Anthony Towns,PF,28,MIN,62,62,2026,479,951,.504,136,327,.416,343,624,.550,.575,255,292,.873,94,421,515,189,43,41,177,204,1349,3.0,56.0,26.0
Gary Trent Jr.,SG,25,TOR,71,41,1994,361,847,.426,178,453,.393,183,394,.464,.531,74,96,.771,25,163,188,119,77,10,47,96,974,25.0,25.0,57.0
Oscar Tshiebwe,PF,24,IND,8,0,42,10,20,.500,0,0,0,10,20,.500,.500,6,8,.750,8,8,16,2,2,1,0,3,26,10.0,47.0,35.0
P.J. Tucker,PF,38,TOT,31,10,486,18,50,.360,13,35,.371,5,15,.333,.490,3,3,1.000,28,57,85,16,16,7,8,54,52,2.682926829268293,19.134146341463417,11.865853658536587
Myles Turner,C,27,IND,77,77,2076,476,909,.524,116,324,.358,360,585,.615,.587,245,317,.773,113,420,533,100,39,144,109,232,1313,10.0,47.0,35.0
Hunter Tyson,PF,23,DEN,18,0,48,8,20,.400,4,14,.286,4,6,.667,.500,0,0,0,1,8,9,2,1,0,2,10,20,4.0,57.0,25.0
Stanley Umude,SG,24,DET,24,2,307,37,84,.440,24,53,.453,13,31,.419,.583,29,32,.906,8,43,51,11,8,7,14,40,127,27.0,14.0,68.0
Jonas Valančiūnas,C,31,NOP,82,82,1925,402,719,.559,37,120,.308,365,599,.609,.585,161,205,.785,186,535,721,173,32,68,111,218,1002,6.0,49.0,33.0
Jarred Vanderbilt,PF,24,LAL,29,6,581,59,114,.518,8,27,.296,51,87,.586,.553,24,36,.667,41,97,138,36,36,5,28,43,150,19.0,47.0,35.0
Fred VanVleet,PG,29,HOU,73,73,2684,423,1018,.416,227,586,.387,196,432,.454,.527,197,229,.860,33,245,278,589,101,59,126,183,1270,18.0,41.0,41.0
Devin Vassell,SG,23,SAS,68,62,2248,498,1056,.472,166,446,.372,332,610,.544,.550,161,201,.801,27,234,261,277,73,23,108,74,1323,24.0,22.0,60.0
Sasha Vezenkov,PF,28,SAC,42,0,511,84,191,.440,45,120,.375,39,71,.549,.558,12,15,.800,30,66,96,19,20,7,12,42,225,17.0,46.0,36.0
Gabe Vincent,PG,27,LAL,11,0,218,15,49,.306,3,28,.107,12,21,.571,.337,1,2,.500,4,5,9,21,9,0,5,19,34,19.0,47.0,35.0
Nikola Vučević,C,33,CHI,76,74,2610,586,1211,.484,92,313,.294,494,898,.550,.522,106,129,.822,210,591,801,254,50,60,120,190,1370,20.0,39.0,43.0
Tristan Vukcevic,C,20,WAS,10,4,153,29,67,.433,10,36,.278,19,31,.613,.507,17,22,.773,6,30,36,13,5,7,10,28,85,28.0,15.0,67.0
Dean Wade,PF,27,CLE,54,32,1108,96,232,.414,79,202,.391,17,30,.567,.584,20,26,.769,37,181,218,43,40,25,20,93,291,13.0,48.0,34.0
Franz Wagner,SF,22,ORL,72,72,2337,528,1096,.482,94,334,.281,434,762,.570,.525,271,319,.850,72,309,381,269,76,28,137,168,1421,15.0,47.0,35.0
Moritz Wagner,C,26,ORL,80,1,1415,332,552,.601,38,115,.330,294,437,.673,.636,166,204,.814,117,230,347,96,39,21,97,160,868,15.0,47.0,35.0
Ish Wainright,SF,29,TOT,11,0,62,7,24,.292,7,20,.350,0,4,.000,.438,2,2,1.000,3,11,14,1,4,1,2,8,23,2.9146341463414633,4.182926829268292,6.8170731707317085
Jabari Walker,SF,21,POR,72,23,1700,234,509,.460,41,139,.295,193,370,.522,.500,129,171,.754,151,357,508,71,42,22,66,173,638,29.0,21.0,61.0
Jarace Walker,PF,20,IND,33,0,340,45,110,.409,22,55,.400,23,55,.418,.509,8,9,.889,12,51,63,40,15,11,17,29,120,10.0,47.0,35.0
Lonnie Walker IV,SG,25,BRK,58,0,1011,208,492,.423,104,271,.384,104,221,.471,.528,45,59,.763,13,114,127,74,32,20,51,71,565,22.0,32.0,50.0
Cason Wallace,SG,20,OKC,82,13,1692,217,442,.491,98,234,.419,119,208,.572,.602,29,37,.784,52,135,187,120,76,37,45,129,561,2.0,57.0,25.0
Jordan Walsh,SF,19,BOS,9,1,83,6,15,.400,2,9,.222,4,6,.667,.467,1,2,.500,5,15,20,5,5,1,3,11,15,1.0,64.0,18.0
T.J. Warren,SF,30,MIN,11,0,125,18,41,.439,2,13,.154,16,28,.571,.463,3,4,.750,5,17,22,9,4,1,4,11,41,3.0,56.0,26.0
P.J. Washington,PF,25,TOT,73,45,2221,354,811,.436,132,413,.320,222,398,.558,.518,99,145,.683,85,326,411,141,72,59,96,169,939,21.048780487804876,28.951219512195124,44.048780487804876
TyTy Washington Jr.,PG,22,MIL,11,0,56,6,20,.300,2,6,.333,4,14,.286,.350,0,0,0,1,4,5,5,3,0,2,1,14,12.0,49.0,33.0
Yuta Watanabe,SF,29,TOT,34,0,464,41,116,.353,25,85,.294,16,31,.516,.461,10,17,.588,11,43,54,15,12,7,19,39,117,4.768292682926829,18.97560975609756,15.024390243902438
Lindy Waters III,SG,26,OKC,38,0,280,49,104,.471,37,85,.435,12,19,.632,.649,2,2,1.000,7,33,40,24,5,7,7,23,137,2.0,57.0,25.0
Trendon Watford,PF,23,BRK,63,2,856,164,311,.527,27,68,.397,137,243,.564,.571,77,97,.794,52,142,194,81,23,19,63,106,432,22.0,32.0,50.0
Peyton Watson,SF,21,DEN,80,4,1488,208,447,.465,45,152,.296,163,295,.553,.516,71,106,.670,56,202,258,86,42,88,58,143,532,4.0,57.0,25.0
Victor Wembanyama,C,20,SAS,71,71,2106,551,1186,.465,128,394,.325,423,792,.534,.519,292,367,.796,161,594,755,274,88,254,260,153,1522,24.0,22.0,60.0
Blake Wesley,SG,20,SAS,61,3,876,102,215,.474,12,55,.218,90,160,.563,.502,52,78,.667,18,76,94,166,29,9,55,89,268,24.0,22.0,60.0
Russell Westbrook,PG,35,LAC,68,11,1529,301,663,.454,42,154,.273,259,509,.509,.486,110,160,.688,93,250,343,306,74,23,144,121,754,7.0,51.0,31.0
Coby White,PG,23,CHI,79,78,2881,541,1209,.447,209,556,.376,332,653,.508,.534,218,260,.838,44,314,358,405,53,18,166,186,1509,20.0,39.0,43.0
Derrick White,SG,29,BOS,73,73,2381,387,839,.461,196,495,.396,191,344,.555,.578,137,152,.901,51,259,310,377,74,87,112,152,1107,1.0,64.0,18.0
Jack White,SF,26,MEM,4,0,64,2,16,.125,2,10,.200,0,6,.000,.188,0,0,0,4,8,12,1,4,1,2,3,6,26.0,27.0,55.0
Cam Whitmore,SF,19,HOU,47,2,880,212,467,.454,79,220,.359,133,247,.538,.539,76,112,.679,44,136,180,33,30,17,46,64,579,18.0,41.0,41.0
Aaron Wiggins,SG,25,OKC,78,4,1228,212,377,.562,62,126,.492,150,251,.598,.645,56,71,.789,60,126,186,86,56,19,56,91,542,2.0,57.0,25.0
Andrew Wiggins,SF,28,GSW,71,59,1920,353,780,.453,91,254,.358,262,526,.498,.511,142,189,.751,108,213,321,119,42,41,87,147,939,11.0,46.0,36.0
Lindell Wigginton,PG,25,MIL,3,0,8,2,5,.400,0,2,.000,2,3,.667,.400,2,2,1.000,0,0,0,0,0,0,1,1,6,12.0,49.0,33.0
Alondes Williams,SG,24,MIA,7,0,16,2,8,.250,0,4,.000,2,4,.500,.250,1,1,1.000,0,1,1,0,0,1,2,2,5,16.0,46.0,36.0
Brandon Williams,PG,24,DAL,17,0,113,20,54,.370,3,15,.200,17,39,.436,.398,11,17,.647,4,9,13,17,1,1,7,4,54,14.0,50.0,32.0
Grant Williams,PF,25,TOT,76,43,2130,276,605,.456,126,336,.375,150,269,.558,.560,106,140,.757,86,232,318,174,44,39,109,226,784,18.634146341463413,36.08536585365854,39.914634146341456
Jalen Williams,PF,22,OKC,71,71,2223,536,993,.540,103,241,.427,433,752,.576,.592,180,221,.814,37,245,282,322,80,45,123,175,1355,2.0,57.0,25.0
Jaylin Williams,C,21,OKC,69,1,897,95,228,.417,53,144,.368,42,84,.500,.533,33,41,.805,36,198,234,110,28,27,34,98,276,2.0,57.0,25.0
Jeenathan Williams,SG,24,HOU,22,0,129,27,50,.540,2,5,.400,25,45,.556,.560,7,13,.538,12,11,23,7,4,1,4,10,63,18.0,41.0,41.0
Kenrich Williams,PF,29,OKC,69,1,1029,131,280,.468,56,141,.397,75,139,.540,.568,7,14,.500,61,148,209,93,38,9,32,101,325,2.0,57.0,25.0
Malik Williams,C,25,TOR,7,2,107,9,34,.265,1,5,.200,8,29,.276,.279,0,2,.000,15,23,38,2,3,4,3,15,19,25.0,25.0,57.0
Mark Williams,C,22,CHO,19,19,508,98,151,.649,0,0,0,98,151,.649,.649,46,64,.719,76,108,184,22,16,20,17,50,242,30.0,21.0,61.0
Patrick Williams,PF,22,CHI,43,30,1174,159,359,.443,59,148,.399,100,211,.474,.525,52,66,.788,46,120,166,66,40,33,57,87,429,20.0,39.0,43.0
Robert Williams,C,26,POR,6,0,119,17,26,.654,0,0,0,17,26,.654,.654,7,9,.778,11,27,38,5,7,7,7,17,41,29.0,21.0,61.0
Vince Williams Jr.,SG,23,MEM,52,33,1436,169,379,.446,79,209,.378,90,170,.529,.550,104,130,.800,59,231,290,175,47,34,92,135,521,26.0,27.0,55.0
Ziaire Williams,SF,22,MEM,51,15,1038,150,378,.397,58,189,.307,92,189,.487,.474,62,75,.827,35,145,180,75,36,9,66,85,420,26.0,27.0,55.0
Zion Williamson,PF,23,NOP,70,70,2207,624,1094,.570,6,18,.333,618,1076,.574,.573,347,494,.702,122,284,406,352,77,47,193,159,1601,6.0,49.0,33.0
D.J. Wilson,PF,27,PHI,2,0,15,4,6,.667,2,2,1.000,2,4,.500,.833,0,0,0,1,1,2,2,0,2,0,1,10,8.0,47.0,35.0
Jalen Wilson,PF,23,BRK,43,3,664,76,179,.425,24,74,.324,52,105,.495,.492,38,46,.826,47,84,131,45,11,4,19,48,214,22.0,32.0,50.0
Dylan Windler,SF,27,TOT,17,0,108,15,30,.500,13,27,.481,2,3,.667,.717,0,0,0,3,13,16,10,2,0,2,6,43,3.573170731707317,9.048780487804878,7.951219512195122
James Wiseman,C,22,DET,63,6,1091,187,305,.613,0,2,.000,187,303,.617,.613,72,102,.706,110,226,336,54,12,39,66,141,446,27.0,14.0,68.0
Isaiah Wong,SG,23,IND,1,0,4,1,3,.333,0,1,.000,1,2,.500,.333,0,0,0,0,0,0,0,0,0,0,0,2,10.0,47.0,35.0
Christian Wood,PF,28,LAL,50,1,872,123,264,.466,35,114,.307,88,150,.587,.532,66,94,.702,39,215,254,49,16,33,50,72,347,19.0,47.0,35.0
Delon Wright,PG,31,TOT,47,1,742,74,188,.394,25,68,.368,49,120,.408,.460,37,45,.822,19,67,86,119,54,11,14,32,210,14.000000000000002,13.890243902439025,33.109756097560975
Thaddeus Young,PF,35,TOT,33,6,439,65,108,.602,1,7,.143,64,101,.634,.606,6,15,.400,46,57,103,57,23,5,15,49,137,8.109756097560975,12.987804878048781,20.012195121951223
Trae Young,PG,25,ATL,54,54,1942,433,1008,.430,175,469,.373,258,539,.479,.516,348,407,.855,23,126,149,583,72,11,235,109,1389,21.0,36.0,46.0
Omer Yurtseven,C,25,UTA,48,12,545,99,184,.538,5,24,.208,94,160,.588,.552,19,28,.679,72,136,208,29,8,18,37,52,222,23.0,31.0,51.0
Cody Zeller,C,31,NOP,43,0,320,26,62,.419,1,3,.333,25,59,.424,.427,23,38,.605,48,64,112,39,9,5,16,45,76,6.0,49.0,33.0
Ivica Zubac,C,26,LAC,68,68,1794,337,519,.649,0,0,0,337,519,.649,.649,120,166,.723,196,430,626,93,22,83,79,180,794,7.0,51.0,31.0
